student,undeclared (first use in this function),expected ';' before,expected expression before,expected identifier or '(' before,implicit declaration of function,expected ')' before,expected declaration or statement at end of input,invalid operands to binary,lvalue required as left operand of assignment,"expected '=', ',', ';', 'asm' or '__attribute__' before",expected '}' before,stray ,ld returned 1 exit status,too few arguments to function,subscripted value is neither array nor pointer nor vector,missing terminating,unknown type name,invalid type argument of unary,expected '(' before,incompatible type for argument
1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,10,0,2,4,0,8,2,0,0,0,5,0,0,0,0,3,0,0,1,0
4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,4,2,0,6,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,5,7,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,4,3,1,3,3,1,2,0,2,1,2,3,1,0,0,0,0,0,2,0
13,0,3,5,0,0,1,3,0,6,0,0,0,0,0,0,1,0,0,0,0
14,7,4,4,9,1,1,0,0,0,0,2,3,0,0,0,0,0,0,14,0
22,18,8,10,1,1,2,5,0,11,0,0,1,0,0,1,1,0,0,0,0
24,2,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0
25,0,4,3,1,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0
28,6,1,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
29,7,8,0,1,1,3,5,0,0,2,1,0,0,0,0,2,0,0,0,0
30,0,4,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
31,7,7,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,1,3,0,0,4,0,0,7,0,0,1,0,0,0,5,0,0,0,0
36,12,0,2,9,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0
40,14,2,2,1,0,0,12,0,0,0,0,1,0,0,3,6,0,0,0,0
41,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,4,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,5,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2,8,1,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
54,16,4,7,2,0,6,3,0,0,1,0,0,0,0,0,1,0,0,0,0
56,11,4,1,1,0,0,6,0,9,0,0,0,0,0,0,1,0,0,0,0
60,2,1,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
61,13,15,2,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,3,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
65,4,1,2,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0
67,23,5,0,2,0,0,7,0,3,0,3,0,0,0,0,0,0,0,0,0
69,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,14,4,3,2,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0
75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
83,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,11,4,3,9,1,0,5,1,1,1,1,1,0,0,0,2,0,0,0,0
93,8,6,2,1,0,2,1,0,1,3,0,0,0,0,0,0,0,0,0,0
95,17,4,0,3,0,1,5,0,2,0,0,0,0,0,0,0,0,0,2,0
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
106,3,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
108,17,16,2,2,2,12,3,1,2,2,0,0,0,0,0,1,0,0,2,0
109,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,10,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
111,3,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
112,7,8,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
114,15,14,5,2,0,2,2,0,2,1,0,0,0,0,0,5,0,0,0,0
115,6,2,5,0,0,0,6,0,2,0,0,0,0,0,0,1,0,0,0,0
116,2,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,1,0,1,1,1,3,1,0,3,0,0,0,0,0,0,1,0,0,0,0
127,4,5,0,10,0,2,4,1,1,0,0,0,0,0,0,1,0,0,0,0
128,5,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0
132,8,1,4,3,0,2,5,0,1,0,0,0,0,0,1,1,0,0,0,0
133,19,1,2,3,0,4,7,4,0,2,0,0,0,0,0,0,0,0,1,0
